trade_id,open_time,close_time,symbol,side,volume,entry_price,exit_price,profit
T001,2026-01-05 14:00:00,2026-01-05 14:24:00,XAUUSD,BUY,0.01,2620.10,2624.30,42.00
T002,2026-01-06 14:00:00,2026-01-06 14:18:00,XAUUSD,SELL,0.01,2631.80,2634.30,-25.00
T003,2026-01-07 15:00:00,2026-01-07 15:37:00,XAUUSD,BUY,0.01,2640.20,2646.20,60.00
T004,2026-01-08 15:00:00,2026-01-08 15:12:00,XAUUSD,SELL,0.01,2651.40,2653.40,-20.00
T005,2026-01-12 14:00:00,2026-01-12 14:31:00,XAUUSD,BUY,0.01,2662.10,2667.60,55.00
T006,2026-01-13 16:00:00,2026-01-13 16:28:00,XAUUSD,BUY,0.01,2670.00,2674.50,45.00
T007,2026-01-14 16:00:00,2026-01-14 16:16:00,XAUUSD,SELL,0.01,2678.30,2681.30,-30.00
T008,2026-01-15 14:00:00,2026-01-15 14:21:00,XAUUSD,SELL,0.01,2685.70,2688.50,-28.00
T009,2026-02-02 15:00:00,2026-02-02 15:44:00,XAUUSD,BUY,0.01,2710.20,2717.20,70.00
T010,2026-02-03 15:00:00,2026-02-03 15:33:00,XAUUSD,BUY,0.01,2718.90,2724.10,52.00
T011,2026-02-04 16:00:00,2026-02-04 16:14:00,XAUUSD,SELL,0.01,2722.40,2726.40,-40.00
T012,2026-02-05 14:00:00,2026-02-05 14:26:00,XAUUSD,BUY,0.01,2729.00,2733.90,49.00
